"list length", "milliseconds"
10000,1.613
20000,2.046
30000,3.485
40000,4.065
50000,5.273
60000,5.698
70000,7.442
80000,8.456
90000,10.389
100000,9.491
110000,10.991
120000,13.853
130000,13.249
140000,16.803
150000,14.435
160000,15.706
170000,15.977
180000,19.873
190000,19.425
200000,19.706
210000,21.009
220000,23.162
230000,25.425
240000,22.806
250000,24.375
260000,25.755
270000,30.167
280000,26.534
290000,31.361
300000,32.12
310000,30.163
320000,36.121
330000,31.767
340000,35.392
350000,36.949
360000,38.962
370000,49.321
380000,40.488
390000,47.255
400000,40.968
410000,51.04
420000,44.797
430000,43.997
440000,44.271
450000,43.171
460000,51.022
470000,50.345
480000,47.607
490000,53.146
500000,55.433
510000,54.549
520000,60.981
530000,73.201
540000,62.443
550000,72.024
560000,64.513
570000,56.118
580000,69.97
590000,67.923
600000,71.534
610000,61.925
620000,66.261
630000,73.814
640000,64.856
650000,66.515
660000,68.016
670000,72.393
680000,72.014
690000,69.605
700000,72.645
710000,84.02
720000,90.756
730000,77.462
740000,77.398
750000,94.428
760000,82.648
770000,83.652
780000,84.099
790000,75.759
800000,84.56
810000,85.501
820000,93.633
830000,108.432
840000,106.837
850000,95.185
860000,88.182
870000,95.189
880000,91.807
890000,92.252
900000,98.025
910000,99.434
920000,101.723
930000,96.007
940000,100.732
950000,104.468
960000,127.712
970000,102.881
980000,97.516
990000,103.53
1000000,103.208
