"message bytes", "milliseconds"
10000,0.224
20000,0.215
30000,0.223
40000,0.263
50000,0.281
60000,0.312
70000,0.339
80000,0.364
90000,0.383
100000,0.96
110000,0.417
120000,0.549
130000,0.496
140000,0.57
150000,0.75
160000,0.565
170000,0.699
180000,0.677
190000,0.835
200000,0.826
210000,0.633
220000,0.645
230000,0.823
240000,0.732
250000,0.727
260000,0.911
270000,1.065
280000,0.872
290000,1.483
300000,0.805
310000,0.895
320000,0.826
330000,2.141
340000,0.937
350000,1.784
360000,0.865
370000,0.925
380000,1.231
390000,1.171
400000,1.14
410000,1.174
420000,1.342
430000,1.248
440000,1.153
450000,1.196
460000,2.171
470000,1.311
480000,1.212
490000,1.274
500000,1.291
510000,1.306
520000,1.363
530000,1.815
540000,2.999
550000,2.21
560000,2.098
570000,2.16
580000,2.042
590000,2.201
600000,2.153
610000,2.276
620000,2.937
630000,2.057
640000,2.763
650000,2.076
660000,2.608
670000,2.333
680000,2.642
690000,2.074
700000,2.694
710000,2.271
720000,2.204
730000,2.16
740000,2.148
750000,2.237
760000,3.839
770000,4.549
780000,2.914
790000,2.23
800000,2.982
810000,2.679
820000,3.15
830000,2.62
840000,3.884
850000,3.704
860000,3.508
870000,3.207
880000,2.577
890000,2.726
900000,2.271
910000,2.427
920000,2.205
930000,2.364
940000,2.53
950000,2.505
960000,2.435
970000,2.422
980000,4.512
990000,2.327
1000000,3.661
