"# of requests", "milliseconds"
10,2.795
20,4.955
30,12.793
40,8.702
50,10.852
60,13.844
70,14.591
80,16.417
90,18.038
100,20.873
110,23.869
120,23.713
130,25.849
140,28.489
150,32.64
160,31.584
170,33.354
180,48.991
190,39.262
200,41.597
210,42.546
220,48.381
230,44.539
240,46.256
250,51.689
260,52.534
270,49.909
280,55.768
290,53.071
300,56.698
310,57.158
320,60.555
330,61.015
340,78.872
350,68.424
360,75.155
370,71.628
380,73.656
390,78.355
400,77.047
410,91.181
420,83.163
430,81.332
440,89.26
450,91.125
460,90.281
470,89.474
480,99.088
490,91.91
500,99.972
510,95.517
520,102.867
530,104.252
540,105.704
550,109.632
560,105.898
570,107.26
580,129.093
590,114.032
600,116.504
610,115.495
620,118.941
630,121.551
640,122.618
650,123.453
660,133.394
670,132.456
680,131.28
690,133.648
700,134.049
710,141.994
720,138.922
730,147.35
740,143.648
750,146.165
760,143.061
770,143.464
780,150.485
790,147.206
800,158.298
810,153.976
820,156.777
830,159.981
840,158.857
850,163.071
860,167.403
870,171.05
880,174.853
890,172.25
900,170.288
910,169.377
920,182.599
930,177.369
940,178.098
950,182.798
960,184.713
970,202.518
980,211.009
990,191.806
1000,194.769
